user_id,user_name,user_password,user_account_balance
1000000,dwsan,cswnnolvnrjn,6.5
1000001,tkloi,hiwyhqlsucnp,27.9
1000002,eneia,buxpzqvumbdb,39.7
1000003,fazjm,pytyoqtelhnt,34.699999999999996
1000004,ahkaq,edbkpgoorspu,0.0
1000005,qnkst,ezdtmkbomkao,18.0
1000006,sjhjr,vfkbcwcxjjtw,19.9
1000007,aorak,acpjxudozphf,46.7
1000008,hbfjg,cyltqretlfns,7.8
1000009,xryie,bifloprqdkty,32.8
1000010,vdkax,khpasvnzjowv,64.2
1000011,muhlz,bimykvumsiar,0.0
1000012,fyjkk,yqyjfsniqfqk,2.5999999999999996
1000013,nyoua,wcgjdwggurdf,0.3000000000000007
1000014,yhysl,nuwoixzoimzd,18.0
1000015,dwhcy,degbwujawkmn,31.8
1000016,wxanv,mnocatfidyfz,6.699999999999999
1000017,uarbt,nkdexuausbxf,-2.400000000000002
1000018,aaitt,csvskomgnriz,44.2
1000019,pwnrt,emriadaonmtv,-7.199999999999999
1000020,swsuo,dylhaqphnfio,3.299999999999999
1000021,iaqir,mbdthckvnokj,11.0
1000022,jozsp,nmmgqzrnvkoz,39.7
1000023,arpcx,vjsnhxljdbrh,45.1
1000024,poiec,tivrnzqspjen,25.8
1000025,abunz,havtexcbtucf,0.0
1000026,dwhev,ixoitnczkglf,18.5
1000027,yffrq,gtplcxqrdsna,2.0
1000028,zagyx,ekngsxmgtqzg,24.0
1000029,imjvp,nrurkxcellkh,22.8
1000030,wzvov,uqtrhoogrigp,5.3999999999999995
1000031,oxesn,efvenyvdgcnh,0.0
1000032,onhom,pjzwrlolkkyy,-2.8000000000000007
1000033,pwgdk,zhgagyxcdvba,23.8
1000034,esant,mxmeruhbxtys,12.799999999999999
1000035,lcdgh,mfalhktphdwr,13.799999999999999
1000036,uhugo,qgcdvaetizdv,2.5
1000037,oeemc,sgaobimxztfg,13.399999999999999
1000038,teklu,hgezopanxzry,16.5
1000039,vsrrp,bsaxyuiqhkqe,21.4
1000040,lrzwu,gvnehnokqaxn,19.2
1000041,evrbh,nsgsctgsxens,19.9
1000042,krbwj,ugqjgpbmynwc,9.099999999999998
1000043,cowso,bmztmwvnoxzq,0.0
1000044,jxcbt,rgkdqqnybqdy,8.4
1000045,ydrzu,tvzssbgarhxw,31.299999999999997
1000046,shckr,pfesylyacaxu,15.9
1000047,rgjda,thbeqafuteqq,3.8999999999999986
1000048,qhbkj,gsjyozgxglht,6.6
1000049,gvfhq,nnzauxbftois,51.7
1000050,yvvij,yttdinqjsxcm,-0.6000000000000001
1000051,njvoa,oefoomzqlxio,43.0
1000052,xvxxa,ciooonlmxsgw,0.0
1000053,ymgpu,rvjrngllacpl,18.8
1000054,mbbkn,xyhwabytgyju,54.9
1000055,hvfbq,uuvvlskobolb,4.299999999999999
1000056,wxdfl,kratoumalhwu,21.7
1000057,hsyhs,zdfqmyvqoozk,42.8
1000058,tyjbq,hqrwwcgicmev,68.7
1000059,atcaj,kwetirrshlfe,14.0
1000060,ztxil,tclgnxrxpskm,25.0
1000061,uvyhy,mtckccorzjri,2.1999999999999993
1000062,rkslf,purvrgazcpyp,0.0
1000063,jfpjv,kgszcugrptsg,28.9
1000064,nxfwu,dnrxwdqyeynm,7.6
1000065,zlbjr,sozntspvczan,5.1
1000066,urdqv,cnsmsdgagetx,49.2
1000067,lnctc,wsxajupfhqjp,17.6
1000068,rplfs,varjnpzaaary,0.0
1000069,vafwh,uzefykfpxlnu,22.6
1000070,exxtk,zqinafvupfps,0.0
1000071,efdaj,ztvjwovykknj,8.6
1000072,wjlhe,eopeagpfkqti,20.8
1000073,rjlgr,gvpsaromgxao,12.3
1000074,kwuwn,pqcrxcesykez,9.6
1000075,ifksr,merytfjagxwh,7.799999999999999
1000076,nzkjl,niruwibseyev,17.3
1000077,huijm,muhsdgvolamv,0.0
1000078,vtznh,obzvuydodylg,19.0
1000079,jupae,hifjcqmewbqk,8.899999999999999
1000080,voqfk,srvbgggnjzgs,11.2
1000081,wgkup,wcwnksckdlmo,10.299999999999999
1000082,tmgnq,qehpfwlprscc,0.0
1000083,qdvon,hunimpjvkxoq,13.4
1000084,ijeoj,jcvzjxwwjdsh,27.4
1000085,hmfmp,ikpeseaqzlgr,14.9
1000086,ehlqd,uwzqfdeiernd,13.0
1000087,vkdaz,bslcmovghrdn,26.7
1000088,lhzng,rhsteeiqphck,13.8
1000089,rmeqn,imgjceqgvtlc,8.5
1000090,tgjat,sgjywgpmvrba,39.6
1000091,mexso,hssausnhxkrv,13.2
1000092,oepsu,kjbvztahiojo,-1.1
1000093,zabno,nzhjmwuxyjys,27.5
1000094,vvrrs,txoiqugfjexv,0.0
1000095,znjzb,xhdldypexvvq,30.0
1000096,cwdwj,xzeyfhqzbngr,30.1
1000097,qdaft,oqmbnmchzgaw,-3.0
1000098,dzmbg,nfnwsmyohmhe,23.0
1000099,yteoj,gefuwqdaqzyg,2.4000000000000004
1000100,xjtlv,qbtjllpjmtrc,8.1
1000101,xlbgz,udfpopvdanse,58.0
1000102,zqkqc,qgndrnwyrpvp,34.2
1000103,jrylb,eyaowceyocli,33.6
1000104,grjia,xsdqjwyopoph,15.799999999999999
1000105,yfskc,bnecufegypco,23.6
1000106,zxgid,mnlhyaoprrke,4.2
1000107,vajjt,tueqopvelfdb,7.899999999999999
1000108,vkrff,ywsquqrvbity,9.1
1000109,fewau,lbawjupwzrif,0.0
1000110,eckrg,jfvkaqsgskqj,9.7
1000111,zmult,najcxfdlrhew,12.599999999999998
1000112,ovnsh,hfqakjqvwnhl,22.4
1000113,pibpc,svexwurydaet,19.9
1000114,pislh,qnwqvalllorz,52.5
1000115,geiav,wexamahofbgf,-3.8000000000000007
1000116,uscah,hbadjslpwdfa,5.6
1000117,grvoe,essccgcpubjl,7.0
1000118,haefu,tqiraxnapyky,0.0
1000119,mwxdo,yglrxivnclhs,30.0
1000120,mtmoq,qzojrkgjdbur,21.7
1000121,vzafo,iaxjoltaxynd,9.899999999999999
1000122,fugza,eczmdohpzuif,28.2
1000123,iydva,oqfllcvgasha,13.4
1000124,hdkgo,jlhdjnagpbhk,34.8
1000125,stvir,ivcatoumplgx,3.799999999999999
1000126,qqrka,tbzlfzqnhbal,12.2
1000127,lzquy,dkwoarsuzzpx,0.0
1000128,aawlp,rlwlbljwpeqy,2.4000000000000004
1000129,wypxb,unjciatquhkk,35.7
1000130,rxavo,arwrtirzoiok,45.0
1000131,pnbzo,ktxlpzsdtnqx,3.5999999999999996
1000132,wmzsw,xpeunmxnkogp,34.3
1000133,nyemr,ecfsuqyhnike,19.8
1000134,dgdwi,bbvvoagvxpil,39.4
1000135,xiket,qigwimltwpby,0.0
1000136,cqmwn,ookrvpbsyshg,0.0
1000137,rwhme,pzttmrsytesp,0.0
1000138,buiva,pgpsfiqzgiyy,0.0
1000139,jjoyw,qowqzqdlnbhd,11.100000000000001
1000140,fksrd,kwbwjhzeexql,23.4
1000141,osgso,bwbatvuyjfdz,-0.10000000000000053
1000142,dijva,nhfvgioripdv,9.399999999999999
1000143,xltsj,yfcvxnlcyunt,0.0
1000144,oxnvq,ffpgaedzvguv,8.7
1000145,oldeb,drynhwoczuqh,0.3999999999999986
1000146,xvtjt,izkklvnwgzjl,5.600000000000001
1000147,tanbi,vihrhguaxocb,-7.299999999999999
1000148,tgxmb,bpuoiacfuflw,10.6
1000149,hjttx,xlmmrnlwchcb,15.0
1000150,udupr,olrdgtecdgzl,-4.700000000000001
1000151,tpvce,dvpgimsmohlq,-4.699999999999999
1000152,etgwp,chhjtfdfsozi,7.0
1000153,axugi,geszrnkkyubp,23.9
1000154,vzlrp,alulsyzejcse,27.5
1000155,qxmzb,kqvatikybkdk,5.1
1000156,ofena,qadjjspyvhor,3.3999999999999995
1000157,zjseb,atrnwfpjswsp,17.9
1000158,fqphk,odozqabqdwcu,7.299999999999999
1000159,dogfh,kcxuglxznjhm,42.2
1000160,zlrqy,grgcvmxcmfjm,19.7
1000161,yzsdb,nhyptjudpqoo,23.5
1000162,xfnvd,wblowdwwptup,3.099999999999998
1000163,vyrxu,bneefsqiwfmm,8.799999999999999
1000164,uuyjr,mlxlrjvminkz,40.7
1000165,sktgt,zxfydcyakvwc,0.3999999999999999
